('consult', 'NN')
('seeds', 'NNS')
('libpng-1611', 'JJ')
('difference', 'NN')
('rfc', 'NN')
('muldiv', 'NN')
('converted', 'VBD')
('syntax', 'JJ')
('itu-r', 'JJ')
('png_unexpected_zlib_return', 'NN')
('user_limits', 'NNS')
('folded', 'VBD')
('mathh', 'JJ')
('appends', 'NNS')
('intrapixel', 'JJ')
('represents', 'VBZ')
('inflate', 'JJ')
('debug', 'NNS')
('pnghn', 'JJ')
('bad_combo_list', 'JJ')
('libpng-126', 'NN')
('processed', 'VBD')
('as_default', 'NN')
('guest', 'NN')
('requirements', 'NNS')
('bitsettest', 'IN')
('porter-duff', 'JJ')
('colormaps', 'NNS')
('tells', 'VBZ')
('dither', 'JJ')
('opportunity', 'NN')
('illuminantadopted', 'VBN')
('chunkchunk_type', 'JJ')
('png_abort', 'NN')
('confusion', 'NN')
('wpass', 'NN')
('base_formats', 'NNS')
('b16c', 'VBP')
('although', 'IN')
('directtions', 'NNS')
('vlo-vhi12865535', 'JJ')
('png_fp_saw_sign', 'NN')
('pngc', 'NN')
('help', 'NN')
('breakage', 'VB')
('shift-32', 'JJ')
('environment', 'NN')
('optimizer', 'IN')
('pre-transform', 'JJ')
('goodpng', 'NN')
('about', 'IN')
('example', 'NN')
('quantization', 'NN')
('techniques', 'NNS')
('tristimulus', 'VBP')
('built', 'VBN')
('improved', 'JJ')
('absib', 'NN')
('ready_for_ztxt', 'NN')
('technique', 'NN')
('violate', 'JJ')
('blue-xgreen-scale', 'JJ')
('moment', 'NN')
('cases', 'NNS')
('intensity', 'NN')
('skipping', 'VBG')
('document', 'NN')
('do_compose', 'JJ')
('png_ptr->read_buffer', 'JJ')
('pp->read_filter', 'NN')
('globals', 'NNS')
('before', 'IN')
('png_structrow_fn', 'JJ')
('cksum', 'JJ')
('input-5', 'JJ')
('smashes', 'NNS')
('png_set_swappng_structrp', 'VBP')
('rgb_alpha', 'JJ')
('meant', 'NN')
('writiing', 'VBG')
('bundle', 'NN')
('pended', 'VBD')
('save_unknown_chunks', 'NNS')
('escape', 'VBP')
('triangle', 'JJ')
('set_shift', 'NN')
('srgb0', 'NNS')
('leave', 'VBP')
('insert', 'JJ')
('png_create_struct', 'NN')
('quicker', 'NN')
('controls', 'NNS')
('repeated', 'VBN')
('opacity', 'NN')
('pack', 'NN')
('contriblibtestspngvalidc', 'NN')
('wide-spread', 'JJ')
('expansion', 'NN')
('distinction', 'NN')
('feed', 'NN')
('complain', 'VBP')
('fake', 'JJ')
('reseed', 'NN')
('stealing', 'VBG')
('stray', 'JJ')
('optimized', 'VBN')
('png_set_quantizepng_structp', 'NN')
('log2dbl_maxlog2dbl_min', 'NN')
('attempt', 'NN')
('gammabackground_rgb_to_gray', 'NN')
('bugs', 'NNS')
('tolerance', 'NN')
('from_1', 'JJ')
('0-25', 'JJ')
('gpc_fnout_format', 'NN')
('rewrites', 'VBZ')
('meanings', 'NNS')
('forms', 'NNS')
('png_background_expand', 'VBP')
('a-za-z', 'JJ')
('removal', 'NN')
('damanged', 'VBD')
('input_sample', 'NN')
('presumed', 'JJ')
('delete', 'JJ')
('detect', 'NN')
('whiteopaque', 'NN')
('fine', 'JJ')
('z_sync_flush', 'NN')
('something', 'NN')
('pick', 'JJ')
('unpremultiply', 'JJ')
('stops', 'NNS')
('grayalpha', 'VBP')
('differencing', 'VBG')
('using', 'VBG')
('z_no_flush', 'JJ')
('libtool', 'NN')
('preserving', 'VBG')
('rearrange', 'NN')
('gnu', 'JJ')
('action', 'NN')
('png_set_invert_monopng_structrp', 'NN')
('scripts', 'NNS')
('transforming', 'VBG')
('low-order', 'NN')
('quantizing', 'VBG')
('png_scale_16_to_8', 'NN')
('programming', 'NN')
('faked', 'VBD')
('mediawhitepointtag', 'NN')
('named', 'VBN')
('standards', 'NNS')
('middle', 'VB')
('reallocates', 'NNS')
('boundaries', 'NNS')
('instructed', 'VBD')
('valuev', 'JJ')
('decide', 'RB')
('p_file', 'JJ')
('--dp', 'JJ')
('memory-specific', 'JJ')
('errorquit', 'NN')
('idat_reset', 'VBN')
('white-z', 'JJ')
('routines', 'NNS')
('mantissa', 'FW')
('content', 'JJ')
('trap', 'NN')
('sig_bits0', 'NN')
('awk', 'NN')
('g8b', 'NN')
('inverses', 'VBZ')
('png_set_rgb_to_gray_fixedpng_structp', 'JJ')
('assigned', 'VBN')
('libpng-155', 'JJ')
('scanner', 'NN')
('match', 'NN')
('padded', 'VBD')
('libpng-1243', 'JJ')
('resync', 'NN')
('representation', 'NN')
('ethernet', 'IN')
('non-zero', 'JJ')
('rfc1123', 'NN')
('initialized', 'VBN')
('reentered', 'VBD')
('png_compose', 'JJ')
('creating', 'VBG')
('negating', 'VBG')
('normalize', 'JJ')
('matches', 'NNS')
('identified', 'VBN')
('fills', 'NNS')
('write_srgb', 'JJ')
('misinterpretation', 'NN')
('side', 'NN')
('base_formatsin_format', 'NN')
('easy_access', 'NN')
('supported', 'VBD')
('candidate', 'JJ')
('adobe', 'NN')
('libpng-1412', 'JJ')
('make_size_images', 'NNS')
('happening', 'VBG')
('z_streammsg', 'JJ')
('read-ahead', 'JJ')
('saying', 'VBG')
('write_bgr', 'JJ')
('png_fp_exponext', 'JJ')
('instantiate', 'NN')
('interact', 'NN')
('setpos', 'NN')
('aliased', 'VBD')
('explicit', 'RB')
('cached', 'VBN')
('verify', 'NN')
('setup', 'NN')
('httpsgccgnuorgbugzillashow_bugcgiid66447', 'NN')
('png_store_file', 'IN')
('improving', 'VBG')
('harm', 'NN')
('subtract', 'NN')
('guiwindowing', 'VBG')
('green-cgreen-scale', 'JJ')
('differences', 'NNS')
('expand_16', 'VBP')
('sort', 'NN')
('order', 'NN')
('inflateinit2', 'NN')
('decompressed', 'VBD')
('png_pass_col_shiftpass', 'JJ')
('pool', 'NN')
('byte-by-byte', 'JJ')
('paeth', 'NN')
('for_background', 'NN')
('demand', 'NN')
('triples', 'VBZ')
('doing', 'VBG')
('sacrifice', 'JJ')
('strip-alpha-channel', 'JJ')
('ones', 'NNS')
('formed', 'VBN')
('achannels', 'NNS')
('rewriting', 'VBG')
('according', 'VBG')
('others', 'NNS')
('software', 'NN')
('gray_alpha', 'JJ')
('channel--perhaps', 'JJ')
('chunk-name', 'JJ')
('store_error', 'NN')
('white-x', 'JJ')
('02^31-1', 'JJ')
('knowledge', 'NN')
('inside', 'IN')
('tend', 'JJ')
('png_io_chunk_crc', 'NN')
('zstate', 'NN')
('appears', 'VBZ')
('decoder', 'JJ')
('preventing', 'VBG')
('subdivision', 'NN')
('delayed', 'VBN')
('cannot', 'NN')
('chunkname', 'NN')
('posix', 'JJ')
('break', 'NN')
('chunklen-4u-chunkpos', 'JJ')
('existing', 'VBG')
('png_ptr->trans_alpha', 'JJ')
('destroy', 'NN')
('null', 'NN')
('unpg', 'JJ')
('maxseg_64k', 'NN')
('inquiry', 'NN')
('reject', 'NN')
('png_read_scale_16_to_8_supported', 'VBD')
('sizeof', 'JJ')
('fesetround', 'NN')
('wants', 'VBZ')
('discourage', 'VB')
('give', 'JJ')
('selects', 'NNS')
('c99', 'VBP')
('assume_16_bit_calculations', 'NNS')
('shell', 'VBP')
('response', 'NN')
('trigger', 'NN')
('xoring', 'VBG')
('out_palette', 'JJ')
('vlo-vhi128', 'JJ')
('threw', 'NNS')
('urged', 'VBD')
('harder', 'RBR')
('in_use', 'IN')
('spectra', 'JJ')
('e-n', 'JJ')
('jump', 'NN')
('law', 'NN')
('max-1', 'NN')
('indicates', 'VBZ')
('multiply', 'RB')
('retain', 'JJ')
('debugging', 'VBG')
('configureac', 'NN')
('objects', 'NNS')
('bchannels', 'VBP')
('relationship', 'NN')
('arranged', 'VBN')
('cancelled', 'VBD')
('cb16', 'JJ')
('graphics', 'NNS')
('configuration', 'NN')
('interpolation', 'NN')
('handle_as_unknown', 'NN')
('considered', 'VBN')
('happens', 'VBZ')
('recovery', 'NN')
('accurate', 'NN')
('nbytes', 'VBZ')
('blue-yblue-scale', 'JJ')
('ifdefs', 'NNS')
('-05', 'JJ')
('consumer', 'NN')
('commented', 'VBD')
('derived', 'JJ')
('nonzero', 'NN')
('contriblibteststestpngsn', 'NN')
('minimum', 'JJ')
('unpack', 'JJ')
('sane', 'NN')
('requirement', 'NN')
('march', 'NN')
('above', 'IN')
('electronics', 'NNS')
('limits', 'NNS')
('standard_', 'VBP')
('pre-transforms', 'JJ')
('subsequent', 'JJ')
('nimages1', 'NN')
('unlink', 'NN')
('storing', 'VBG')
('initializer', 'JJ')
('terminal', 'JJ')
('generic', 'JJ')
('intermediate', 'JJ')
('write_png', 'NN')
('copyright', 'VBD')
('compute', 'JJ')
('constants', 'NNS')
('complexity', 'NN')
('v095', 'NN')
('suggested', 'VBD')
('png_debug_malloc', 'NN')
('encountered', 'VBD')
('re-use', 'JJ')
('interactions', 'NNS')
('convenient', 'JJ')
('increment', 'JJ')
('applying', 'VBG')
('v090', 'JJ')
('double-gamma-correction', 'NN')
('directlyn', 'NN')
('log2x257', 'FW')
('went', 'VBD')
('srgb14', 'NN')
('stifle', 'NN')
('modifying', 'VBG')
('re-allocs', 'JJ')
('rgb-8', 'JJ')
('lg2', 'NN')
('review', 'NN')
('inout', 'NN')
('corrupted', 'VBD')
('inc', 'JJ')
('p-c', 'JJ')
('simplify', 'NN')
('returned', 'VBD')
('httpsenwikipediaorgwikisrgb', 'JJ')
('bkgrnd', 'NN')
('dump', 'NN')
('quantities', 'NNS')
('sbits', 'VBZ')
('chopping', 'VBG')
('distinct', 'JJ')
('yes', 'NNS')
('helper', 'NN')
('created', 'VBD')
('backgrounds', 'NNS')
('signed', 'VBD')
('refers', 'NNS')
('extracted', 'VBD')
('c90', 'JJ')
('relative', 'JJ')
('verified', 'VBN')
('red_sbit', 'NN')
('prevented', 'VBD')
('hit', 'JJ')
('64-bit', 'JJ')
('booleans', 'NNS')
('validate_t', 'JJ')
('marker', 'NN')
('zlib_advance', 'NN')
('realloc', 'NN')
('lone', 'NN')
('defaultz_ok', 'NN')
('afterwards', 'NNS')
('log2', 'VBP')
('png_do_strip_filler', 'NN')
('do_interlace', 'NN')
('wild', 'JJ')
('reread', 'JJ')
('goto', 'NN')
('png_set_packingpng_structrp', 'NN')
('apis', 'NN')
('predicts', 'VBZ')
('warndiscard', 'RB')
('alter', 'RB')
('incremented', 'VBN')
('contain', 'NN')
('decrement', 'JJ')
('quiets', 'NNS')
('silent', 'JJ')
('diy', 'NN')
('someone', 'NN')
('sedgewick', 'NN')
('dll', 'NN')
('overwrite', 'JJ')
('expressions', 'NNS')
('fio21-cdonotcreatetemporaryfilesinshareddirectories', 'NNS')
('libpng-109beta03', 'JJ')
('reciprocals', 'NNS')
('discards', 'NNS')
('share', 'NN')
('transform_display', 'IN')
('off-by-one', 'JJ')
('secure', 'NN')
('png_max_gamma_8', 'JJ')
('mis-match', 'JJ')
('display->background', 'NN')
('copied', 'VBD')
('bigendian', 'JJ')
('anything', 'NN')
('invalidated', 'JJ')
('blue-c', 'JJ')
('gamma_display', 'NN')
('normalization', 'NN')
('touch', 'JJ')
('reference', 'NN')
('cie', 'NN')
('fixed_point', 'NN')
('out_ct', 'FW')
('frequent', 'JJ')
('png_fp_exponent', 'NN')
('excluding', 'VBG')
('documented', 'JJ')
('coefficients', 'NNS')
('clobbers', 'NNS')
('terminates', 'VBZ')
('registers', 'NNS')
('reallocation', 'NN')
('accumulaten', 'RB')
('below', 'IN')
('>green', 'JJ')
('e-mail', 'JJ')
('file_initcontrolfile', 'NN')
('png_skip_srgb_check_profile', 'NN')
('backgroundcomposite', 'JJ')
('depend', 'NN')
('exit', 'NN')
('written_file', 'NN')
('png_setjmp_supported', 'VBD')
('aim', 'JJ')
('xor', 'NNP')
('png_write_flush_supported', 'VBD')
('clever', 'JJ')
('seconds', 'NNS')
('advantage', 'JJ')
('lanes', 'NNS')
('skip_bad_crc', 'VBD')
('speed-up', 'JJ')
('flow', 'NN')
('incoming', 'VBG')
('accommodate', 'JJ')
('png_swap_alpha', 'NN')
('guidance', 'NN')
('assumptions', 'NNS')
('destroy_read_struct', 'VBP')
('compare', 'JJ')
('split', 'NN')
('deinterlacing', 'VBG')
('d->error_return', 'JJ')
('correctness', 'NN')
('strip_16', 'NN')
('variant', 'JJ')
('in-err', 'NN')
('misplaced', 'VBD')
('mallocs', 'JJ')
('_mm_avg_epu8', 'NNP')
('z_buf_error', 'NN')
('_supported', 'VBD')
('overriding', 'VBG')
('sources', 'NNS')
('hanging', 'VBG')
('png_fp_end', 'NN')
('packed', 'VBD')
('pm->assume_16_bit_calculations', 'NNS')
('classed', 'VBN')
('d65', 'NN')
('png_libpng_ver', 'NN')
('simplification', 'NN')
('integers', 'NNS')
('mac', 'VBP')
('libpng-107', 'JJ')
('front', 'NN')
('terminated', 'VBD')
('types', 'JJ')
('write-errno', 'JJ')
('pool->list', 'NN')
('permuting', 'NN')
('reflects', 'VBZ')
('pertain', 'JJ')
('exp_b10-1', 'JJ')
('removed', 'VBN')
('prototype', 'NN')
('extent', 'NN')
('prtr', 'NN')
('png_fp_saw_e', 'NN')
('defaults', 'NNS')
('png_read_packswap_supported', 'VBD')
('store_free', 'JJ')
('dispersion', 'NN')
('linearize', 'NN')
('runs', 'VBZ')
('warnings', 'NNS')
('resulting', 'VBG')
('arise', 'JJ')
('instability', 'NN')
('instantiated', 'VBD')
('members', 'NNS')
('compatibility', 'NN')
('ignoring', 'VBG')
('xyznumber', 'NNP')
('strings', 'NNS')
('--relaxes', 'NNP')
('exception', 'NN')
('redgreenbluexxyz', 'NN')
('buffered', 'VBD')
('libpng-099', 'JJ')
('allowing', 'VBG')
('followed', 'JJ')
('is_error', 'NN')
('icc_info', 'NN')
('succeeded', 'VBD')
('loaded', 'JJ')
('bogons', 'NNS')
('summarised', 'VBD')
('columns', 'JJ')
('p_linear', 'JJ')
('object', 'NN')
('stdio', 'NN')
('shorter', 'JJR')
('enable-arm-neon', 'JJ')
('per-chunk', 'NN')
('pngfixc', 'NN')
('masks', 'NNS')
('declarations', 'NNS')
('operate', 'VBP')
('insufficient', 'JJ')
('circumvents', 'NNS')
('skipped', 'VBD')
('non-interlacing', 'NN')
('decoded', 'VBD')
('mismatch', 'NN')
('ihdr', 'NN')
('comparisons', 'NNS')
('filelength', 'VBP')
('slows', 'VBZ')
('conforms', 'NNS')
('unset', 'JJ')
('show', 'VBP')
('holding', 'VBG')
('replication', 'NN')
('log2v255', 'NN')
('resulted', 'VBD')
('nothing', 'NN')
('restore', 'NN')
('applicationconfiguration', 'NN')
('reached', 'VBD')
('contribtoolschecksum-icc', 'JJ')
('primary', 'JJ')
('flushing', 'VBG')
('dot', 'JJ')
('constifies', 'NNS')
('want', 'VBP')
('encoded_sample', 'NN')
('corrected', 'VBN')
('experiment', 'NN')
('lost', 'VBN')
('meet', 'NN')
('gamut', 'NN')
('raising', 'VBG')
('destroyed', 'JJ')
('originating', 'VBG')
('treates', 'NNS')
('wwwcolororg', 'RB')
('hardwired', 'VBD')
('estimate', 'JJ')
('interpolate', 'NN')
('guard', 'NN')
('facility', 'NN')
('round', 'NN')
('adapted', 'VBD')
('trycatch', 'NN')
('listed', 'VBN')
('isnt', 'JJ')
('confusing', 'VBG')
('elements', 'NNS')
('catch', 'VB')
('meters', 'NNS')
('png_read_strip_alpha_supported', 'JJ')
('lacks', 'NNS')
('checked', 'VBD')
('pre-multiply', 'JJ')
('eliminate', 'NN')
('windows', 'NNS')
('differs', 'NNS')
('incorporate', 'VBP')
('componentalpha65535', 'JJ')
('ignores', 'NNS')
('preallocate', 'VBP')
('png_packswap', 'NN')
('slow', 'JJ')
('steps', 'NNS')
('converting', 'VBG')
('check_gamma', 'NN')
('accommodated', 'VBD')
('archived', 'JJ')
('inflatereset2', 'NN')
('stores', 'NNS')
('since', 'IN')
('inflatec', 'NN')
('introduce', 'NN')
('redgreenbluewhitexxy', 'NN')
('apparent', 'JJ')
('zlib_run', 'NN')
('png_expand_16', 'NN')
('gain', 'NN')
('implements', 'NNS')
('removing', 'VBG')
('separation', 'NN')
('worktime', 'FW')
('png_invert_mono', 'NN')
('messages', 'NNS')
('depthchannels', 'VBP')
('minimal', 'JJ')
('pngfixc18113', 'NN')
('outside', 'IN')
('crc_finish', 'JJ')
('set_packing', 'VBG')
('png_max_malloc_64k', 'NN')
('supports', 'NNS')
('png_read_interlacing_supported', 'VBD')
('levels', 'NNS')
('bits', 'NNS')
('persuade', 'VBP')
('bcpl', 'NN')
('detail', 'NN')
('accomplished', 'VBD')
('past', 'IN')
('handling', 'VBG')
('touchy', 'NN')
('algorithms', 'NN')
('gpr', 'NN')
('api', 'IN')
('discarding', 'VBG')
('possibility', 'NN')
('sse2', 'VBD')
('libpng-127', 'JJ')
('hill', 'NN')
('process_chunk', 'NN')
('made', 'VBD')
('getting', 'VBG')
('ten', 'JJ')
('pngprivh', 'JJ')
('in_digits1', 'NN')
('numerator', 'NN')
('chunkidat', 'JJ')
('extend', 'NN')
('provides', 'VBZ')
('optimizes', 'JJ')
('security', 'NN')
('logvalue255log2', 'NN')
('recalculate', 'NN')
('operations', 'NNS')
('adopted', 'VBD')
('assume', 'RB')
('confounded', 'VBN')
('xopen', 'JJ')
('guess', 'NN')
('combines', 'NNS')
('componentalpha', 'VBP')
('instantiating', 'VBG')
('nested', 'VBN')
('png_col_in_interlace_passx', 'NNS')
('behave', 'VBP')
('filenames', 'NNS')
('idmax', 'RB')
('png_read_alpha_mode_supported', 'VBD')
('horse', 'NN')
('thinks', 'NNS')
('performed', 'VBD')
('place', 'NN')
('avoids', 'NNS')
('decided', 'VBD')
('freeimage', 'NN')
('energy', 'NN')
('inverse', 'NN')
('rewrite', 'NN')
('consume', 'NN')
('png_convert_size', 'VBP')
('binary', 'JJ')
('magic', 'NN')
('glin', 'NN')
('set_modifier_for_read', 'VBD')
('follow', 'JJ')
('png_fp_state', 'NN')
('gcc_strict_overflow', 'NN')
('error_to_linear', 'VBP')
('combinatorial', 'JJ')
('trying', 'VBG')
('event', 'NN')
('png_write_flush_after_iend_supported', 'VBD')
('counter', 'JJR')
('chunk_type', 'NN')
('sent', 'VBD')
('attached', 'VBN')
('runtime', 'RB')
('simpler', 'JJ')
('fatal', 'JJ')
('remainder', 'NN')
('whereas', 'NNS')
('worked', 'VBD')
('bounds', 'NNS')
('variety', 'NN')
('dab2', 'VBP')
('max_bits', 'NNS')
('readings', 'NNS')
('interpreted', 'VBD')
('prophoto', 'NN')
('reversal', 'NN')
('executed', 'VBD')
('starting', 'VBG')
('lesser', 'JJR')
('color-y', 'JJ')
('per-file', 'JJ')
('mediocre', 'NN')
('png_read_background_supported', 'VBD')
('optimize_alpha', 'JJ')
('lengthtypepos', 'JJ')
('color-z', 'JJ')
('g^gamma', 'NN')
('unreset', 'JJ')
('tendency', 'NN')
('enabled', 'VBD')
('robinson', 'NN')
('overlaying', 'VBG')
('vision', 'NN')
('applied', 'VBN')
('relies', 'NNS')
('png_col_from_pass_colxin', 'VBP')
('accepts', 'NNS')
('png_read_expand_supported', 'VBN')
('cope', 'NN')
('marks', 'NNS')
('greyscale', 'JJ')
('octal', 'JJ')
('simplified_write_stdio', 'NN')
('round-trip', 'NN')
('error_via_linear', 'NN')
('reversed', 'VBD')
('intel', 'NN')
('opposite', 'JJ')
('log2value65535', 'JJ')
('destruction', 'NN')
('provided', 'VBD')
('deletes', 'NNS')
('copes', 'NNS')
('z_ok', 'VBP')
('leaves', 'VBZ')
('slack', 'JJ')
('poyntoncom', 'NN')
('outputs', 'NNS')
('png_read_start_image', 'NN')
('chromaticities', 'NNS')
('ability', 'NN')
('too-far-back', 'JJ')
('emit', 'NN')
('idat_listcount', 'NN')
('theory', 'NN')
('funky', 'NN')
('maxpc16', 'NN')
('detects', 'VBZ')
('advice', 'NN')
('requested', 'VBD')
('convenience', 'NN')
('lay', 'NN')
('character', 'NN')
('understand', 'NN')
('breakpoints', 'NNS')
('repeat', 'VBP')
('interpretation', 'NN')
('produces', 'VBZ')
('write_customize_ztxt_compression', 'NN')
('truncation', 'NN')
('initialize', 'VB')
('initializations', 'NNS')
('taps', 'NNS')
('png_read_rgb_to_gray_supported', 'VBD')
('pngtestpng', 'RB')
('png_read_filler_supported', 'VBN')
('png_simplified_write_supported', 'JJ')
('-19', 'NN')
('outrowc', 'NN')
('forces', 'NNS')
('aed', 'VBP')
('png_flag_detect_uninitialized', 'VBN')
('obtained', 'JJ')
('prefixsuffix', 'NN')
('aspects', 'NNS')
('writer', 'VBP')
('printf', 'JJ')
('ideal', 'NN')
('act', 'NN')
('finer', 'NN')
('skips', 'NNS')
('png_read_unknown_chunks_supported', 'VBD')
('write_interlacing', 'VBG')
('bitspixel', 'JJ')
('way', 'NN')
('fails', 'VBZ')
('store_memory', 'JJ')
('reflect', 'JJ')
('direction', 'NN')
('dropped', 'VBD')
('numbers', 'NNS')
('reuse', 'VBP')
('riffled', 'VBN')
('narrowing', 'JJ')
('ztxtitxt', 'NN')
('optimizations', 'NNS')
('listssfnet', 'VBP')
('write_main', 'VBP')
('read_filler', 'JJ')
('read-errno', 'JJ')
('colour', 'NN')
('prints', 'NNS')
('incremental', 'JJ')
('building', 'NN')
('while', 'IN')
('roundv', 'NN')
('grayscalergb', 'NNS')
('correct', 'JJ')
('copies', 'NNS')
('chunk-type', 'JJ')
('choose', 'JJ')
('root-mean-square', 'JJ')
('expands', 'NNS')
('png_set_swap_alphapng_structrp', 'JJ')
('non-overflowing', 'JJ')
('fix-up', 'JJ')
('png_idat', 'NN')
('assurance', 'NN')
('datainput_size', 'VB')
('andreas', 'NNS')
('expressed', 'VBN')
('png_rowbytes', 'NNS')
('messy', 'VBP')
('inability', 'NN')
('establish', 'VB')
('n_digits', 'NNS')
('problems', 'NNS')
('caused', 'VBD')
('colours', 'NNS')
('sgp', 'JJ')
('claims', 'NNS')
('calculation', 'NN')
('whether', 'IN')
('cover', 'NN')
('twos', 'NN')
('hex', 'JJ')
('stop', 'JJ')
('bit-33', 'NN')
('attempted', 'VBD')
('restrictions', 'NNS')
('latin', 'JJ')
('obscure', 'JJ')
('quick', 'JJ')
('verifies', 'NNS')
('freed', 'VBP')
('somehow', 'RB')
('png_write_optimize_cmf_supported', 'VBN')
('areas', 'NNS')
('observer', 'IN')
('overhead', 'JJ')
('png_gray_to_rgb', 'NN')
('user_transform_info', 'JJ')
('control_init', 'JJ')
('srgbhdtvitu-rec', 'JJ')
('info->num_palette', 'NN')
('reaches', 'NNS')
('clean', 'JJ')
('octet', 'IN')
('color-scale', 'JJ')
('limitations', 'NNS')
('color-map', 'JJ')
('libpng-1220', 'JJ')
('nail', 'NN')
('byte-swap', 'NN')
('configh', 'JJ')
('specification', 'NN')
('area', 'NN')
('along', 'IN')
('advance', 'NN')
('es_loes_hi', 'NN')
('atob0', 'IN')
('input-5input5', 'JJ')
('randomizer', 'NN')
('mass', 'NN')
('specified', 'VBD')
('scales', 'NNS')
('agrees', 'VBZ')
('digitzed', 'JJ')
('studio', 'NN')
('scaling', 'VBG')
('defer', 'JJ')
('increase', 'NN')
('extract', 'NN')
('frame', 'JJ')
('summaries', 'NNS')
('gained', 'VBD')
('jmpbuf_size', 'JJ')
('bitshigh', 'JJ')
('luminance', 'NN')
('preceding', 'VBG')
('optimization', 'NN')
('account', 'NN')
('chromaticity', 'NN')
('read_ip', 'VBP')
('partial-alpha', 'NN')
('commoned', 'VBD')
('pngtest_timing', 'VBG')
('build', 'NN')
('adam7yx', 'JJ')
('position', 'NN')
('absig', 'IN')
('cache', 'NN')
('msgi', 'NN')
('violates', 'VBZ')
('termination', 'NN')
('monitor', 'NN')
('verbatim', 'NN')
('alpha05', 'NN')
('srgb_to_d', 'NN')
('solve', 'VB')
('merge', 'NN')
('xin', 'NNP')
('isbitmax', 'NN')
('included', 'VBD')
('configure', 'JJ')
('png-fix-itxtc', 'JJ')
('lots', 'NNS')
('redgray', 'NN')
('decompress', 'RB')
('agree', 'JJ')
('development', 'NN')
('a<baba>b', 'NN')
('excess', 'JJ')
('mean', 'JJ')
('err_action', 'NN')
('published', 'VBN')
('coverity', 'NN')
('adam7', 'NN')
('png_{getset}_unknown_chunks', 'NNS')
('correction', 'NN')
('digitization', 'NN')
('unsetinvalidonoff', 'IN')
('png_size_max', 'NNS')
('exceed', 'VBP')
('part2', 'JJ')
('cinfo', 'JJ')
('performance', 'NN')
('pngapi', 'NN')
('edited', 'VBD')
('asking', 'VBG')
('protected', 'VBN')
('mapping', 'VBG')
('super-class', 'NN')
('epsilon', 'NN')
('knuth', 'NN')
('dos', 'NN')
('cleaned', 'VBD')
('shared', 'VBN')
('write_trns', 'NNS')
('trojan', 'VB')
('crash', 'JJ')
('low-bit-depth', 'JJ')
('reset', 'NN')
('test_uses_encodings', 'NNS')
('translation', 'NN')
('completed', 'VBN')
('pair', 'NN')
('png_set_gray_1_2_4_to_8', 'NN')
('deleting', 'VBG')
('tracking', 'VBG')
('intervening', 'VBG')
('png_flag_mng_filter_64', 'JJ')
('bckc', 'NN')
('atimes', 'NNS')
('store_log', 'VBP')
('uarb_div10', 'JJ')
('retrieve', 'VBP')
('z_null', 'NN')
('stdarg', 'NN')
('make_standard', 'NN')
('matching', 'VBG')
('interferes', 'NNS')
('typedef', 'JJ')
('randomized', 'VBN')
('png_read_invert_mono_supported', 'JJ')
('set_expand', 'NN')
('supply', 'NN')
('file_init', 'NN')
('examplec', 'JJ')
('satisfactory', 'JJ')
('allocation', 'NN')
('read_int_functions', 'NNS')
('pre-160', 'JJ')
('modifier_reset', 'NN')
('harmless', 'NN')
('preference', 'NN')
('tends', 'VBZ')
('tile', 'JJ')
('png_set_backgroundpng_structp', 'JJ')
('de-interlacing', 'NN')
('unless', 'IN')
('chooses', 'NNS')
('path', 'JJ')
('failures', 'NNS')
('trim', 'JJ')
('acts', 'NNS')
('described', 'VBD')
('forbids', 'NNS')
('said', 'VBD')
('adjacent', 'JJ')
('local_use', 'NN')
('use_update_info', 'JJ')
('outmax', 'NN')
('expecting', 'VBG')
('<httpwwwpoyntoncomnotescolour_and_gamma>', 'NNP')
('undo', 'JJ')
('input_memory', 'NN')
('notreached', 'VBD')
('generator', 'JJ')
('things', 'NNS')
('insists', 'VBZ')
('eliminates', 'NNS')
('stripped', 'VBD')
('alpha_optimized', 'JJ')
('cleanup', 'NN')
('occurred', 'VBD')
('slots', 'NNS')
('restored', 'VBN')
('info_image', 'JJ')
('sensitivity', 'NN')
('speed', 'NN')
('pixel-wise', 'JJ')
('passfail', 'JJ')
('quarter', 'NN')
('drops', 'NNS')
('plte', 'VBP')
('deduce', 'VB')
('blue-ygreen-scale', 'JJ')
('ups', 'NNS')
('subtracting', 'VBG')
('plane', 'NN')
('disclaimern', 'JJ')
('bytestag', 'JJ')
('bytewise', 'NN')
('blue-ywhite-scale', 'JJ')
('_fixed', 'NNP')
('serialized', 'VBD')
('fixme', 'JJ')
('png_ptr->rgb_to_gray_blue_coeff', 'JJ')
('unpc', 'JJ')
('red-xred-scale', 'JJ')
('part', 'NN')
('names', 'NNS')
('png_background', 'VBP')
('lengths', 'JJ')
('wrap', 'NN')
('wraps', 'NNS')
('validating', 'VBG')
('required', 'JJ')
('cost', 'NN')
('going', 'VBG')
('pcs', 'NNS')
('quieted', 'VBD')
('crashed', 'VBN')
('presented', 'VBN')
('amend', 'JJ')
('grab', 'NN')
('encapsulates', 'VBZ')
('read_gamma', 'VBP')
('filetype', 'JJ')
('write_customize_compression', 'NN')
('xxrrggbb', 'NNP')
('drop', 'NN')
('noise', 'NN')
('evil', 'JJ')
('locals', 'NNS')
('warningerror', 'VBP')
('allocations', 'NNS')
('disk', 'VBP')
('reach', 'VBP')
('png_filler_before', 'RB')
('scale', 'JJ')
